lon,lat,Casos,Muertes,No_Muertes,data,Pais
-95.712891,37.09024,"875,289",57796,817493,57796-817493,United_States
-3.435973,55.378051,"143,080",24054,119026,24054-119026,United_Kingdom
-3.74922,40.463667,"110,916",17203,93713,17203-93713,Spain
35.243322,38.963745,"106,762",2913,103849,2913-103849,Turkey
12.56738,41.87194,"101,852",16091,85761,16091-85761,Italy
105.318756,61.52401,"97,563",962,96601,962-96601,Russia
10.451526,51.165691,"97,206",5705,91501,5705-91501,Germany
2.213749,46.227638,"83,892",21063,62829,21063-62829,France
-51.92528,-14.235004,"73,583",5307,68276,5307-68276,Brazil
53.688046,32.427908,"52,162",3200,48962,3200-48962,Iran
-106.346771,56.130366,"44,163",2907,41256,2907-41256,Canada
4.469936,50.503887,"35,960",6988,28972,6988-28972,Belgium
-75.015152,-9.189967,"32,981",919,32062,919-32062,Peru
78.96288,20.593684,"31,799",1042,30757,1042-30757,India
5.291266,52.132633,"27,052",3847,23205,3847-23205,Netherlands
-78.183406,-1.831239,"22,709",821,21888,821-21888,Ecuador
45.079162,23.885942,"19,949",149,19800,149-19800,Saudi_Arabia
-8.224454,39.399872,"18,284",849,17435,849-17435,Portugal
-8.24389,53.41291,"17,343",1136,16207,1136-16207,Ireland
-102.552784,23.634501,"16,705",1704,15001,1704-15001,Mexico
